work_key,title,authors,subjects,first_publish_year,cover_url
/works/OL18417W,The Wonderful Wizard of Oz,L. Frank Baum,"Witches, Toy and movable books, Spanish language materials, Fiction, Wizards, Juvenile literature, Wizards in fiction, Children's stories, Russian, Specimens, Imaginary voyages in fiction, Classic Literature, Imaginary Voyages, Children's stories, American, Adventure and adventurers, Open Library Staff Picks, Books and reading, Children's stories, Witches in fiction, History, Juvenile fiction",1899,https://covers.openlibrary.org/b/id/552443-L.jpg
/works/OL66562W,Sense and Sensibility,Jane Austen,"Fiction, Romance, Historical, Regency, Inheritance and succession, fiction, Mate selection, fiction, Social classes, fiction, Family life, fiction, Text-books for foreigners, Young women,  fiction, Literature, Readers, Gentry, Sisters, fiction, Classic Literature, FICTION / Classics, Open Library Staff Picks, English language, open_syllabus_project, Manners and customs, fiction, Didactic fiction, Social life and customs, fiction, Humorous stories",1811,https://covers.openlibrary.org/b/id/9278292-L.jpg
/works/OL24034W,Treasure Island,Robert Louis Stevenson,"Fiction, Treasure Island (Imaginary place), Treasure-trove, Pirates, Treasure troves, Children's fiction, Adventure and adventurers, fiction, Pirates, fiction, Buried treasure, fiction, Voyages and travels, fiction, Treasure island (imaginary place), fiction, Literature, British and irish fiction (fictional works by one author), Asventure and adventures, Adventure and adventures, Buried treasure, Caribbean area, fiction, Literature and fiction, juvenile, Adventure and adventurers, Juvenile fiction",1880,https://covers.openlibrary.org/b/id/13859660-L.jpg
/works/OL29983W,Little Women,Louisa May Alcott,"Romans, Jeunes filles, Soeurs, Sisters, Young women, Fiction, Fiction, women, Young women, fiction, Family life, Literatura Norte Americana, Families, Juvenile fiction, March family (Fictitious characters), Domestic fiction, Bildungsromans, Historical fiction, Children's fiction, Family life, fiction, Sisters, fiction, New england, fiction",1848,https://covers.openlibrary.org/b/id/8775559-L.jpg
/works/OL20600W,Gulliver's Travels,Jonathan Swift,"YA, Young adult, Juvenile, Fiction, Fantasy, Utopias, Classic, Classics, Irish, Literature, Story, Stories, ELT graded readers, Easy, Readers, Swift to read, Novel, Book, Hardcover, Paperback",1726,https://covers.openlibrary.org/b/id/12717083-L.jpg
/works/OL69612W,The Secret Garden,Frances Hodgson Burnett,"Fiction, general, Friendship, fiction, People with disabilities, fiction, Great britain, fiction, Child and youth fiction, Children's fiction, Gardens, fiction, England, fiction, American literature, Orphans, fiction, Great britain, history, fiction, English language, Orphans, Juvenile fiction, Gardens, Fiction, Children with disabilities, Loneliness in children, Fiction, coming of age, Fantasy fiction",1911,https://covers.openlibrary.org/b/id/12622062-L.jpg
/works/OL503666W,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,"Don Quixote (Cervantes Saavedra, Miguel de), Quotations, Knights and knighthood, Social life and customs, Fiction, Classic Literature, Don Quixote (Fictitious character), Early works to 1800, Dictionaries, Literatura picaresca, España, Readers, Caballeros y caballería, great_books_of_the_western_world, Squires, Spanish fiction, Illustrations, Relatos de aventura, Criticism and interpretation, Spanish Adventure fiction",1600,https://covers.openlibrary.org/b/id/14428305-L.jpg
/works/OL893707W,Madame Bovary,Gustave Flaubert,"literary fiction, French literature, Fiction, Manners and customs, fiction, Adultery, Middle class, Physicians' spouses, Suicide victims, Married women, Social life and customs, French fiction, Technique, Suicide, Husband and wife, History, Physicians, Intellectual life, Classic Literature, Spouses, Country life",1856,https://covers.openlibrary.org/b/id/12993424-L.jpg
/works/OL8721462W,Great Expectations,Charles Dickens,"Authors, Benefactors, Bildungsromans, Boys, British and irish fiction (fictional works by one author), Child and youth fiction, Classic Literature, Coming of age, Conduct of life, Criticism and interpretation, Description and travel, Drama, English fiction, English literature, English Manuscripts, Ex-convicts, Facsimiles, Family, Fiction, History",1861,https://covers.openlibrary.org/b/id/13322313-L.jpg
/works/OL262496W,A Study in Scarlet,Arthur Conan Doyle,"Action & Adventure Fiction, aortic aneurysm, Battle of Maiwand, Blessing and cursing, British and irish fiction (fictional works by one author), Children's fiction, Classics, crime scenes, Detective and mystery stories, Detective Fiction, Detectives, Detectives privados, Detektive, Détectives, English Detective and mystery stories, English literature, Ficción, Fiction, hemoglobin, Investigadores privados",1887,https://covers.openlibrary.org/b/id/13405534-L.jpg
/works/OL244537W,The Art of War,"孙武, Sun Tzu ","Open Library Staff Picks, Early works to 1800, Military art and science, great_books_of_the_western_world, Business, Self-Improvement, Philosophy, open_syllabus_project, Fiction, Nonfiction, Politics, Military, Classic Literature, History, Military art and science, early works to 1800, Strategy, Management, Military art and science, history, Leadership, War",1900,https://covers.openlibrary.org/b/id/4849549-L.jpg
/works/OL1089297W,The Prince,Niccolò Machiavelli,"Political science, early works to 1800, Machiavel, Nicolas, 1469-1527. Prince, Classic Literature, Fiction, Ouvrages avant 1800, Science politique, Morale politique, Political science, Early works to 1800, Political ethics, Italian literature, Contribution à la philosophie politique, Biographie, Politique et morale, Philosophie politique, Philosophie de la Renaissance, History, The Renaissance, Catholic Church, Church and State",1515,https://covers.openlibrary.org/b/id/12726168-L.jpg
/works/OL14942956W,The Call of the Wild,Jack London,"Gold discoveries, Bienestar, Lobos, Descubrimiento de oro, Crítica e interpretación, American Nature stories, Cartoons and comics, Feral dogs, Robo de mascotas, Pet theft, Dogs in literature, American Adventure stories, Criticism and interpretation, Dogs, Literatura norte americana, High interest-low vocabulary books, Sea stories, Gold mines and mining, In literature, Relatos de aventuras",1903,https://covers.openlibrary.org/b/id/12393037-L.jpg
/works/OL151406W,Through the Looking-Glass,"Lewis Carroll, Lewis Carroll, Lewis Lewis Carroll","Fantasy, Fiction, English Nonsense verses, Children's poetry, English, Nonsense verses, English poetry, Alice (Fictitious character : Carroll), Toy and movable books, English Fantasy poetry, Children's stories, Juvenile literature, Specimens, Juvenile fiction, Translations into Italian, Artists' books, Shaw alphabet, Children's stories, English, Children's fiction, Fantasy fiction, Alice (fictitious character : carroll), fiction",1865,https://covers.openlibrary.org/b/id/11272464-L.jpg
/works/OL28570037W,Wind in the Willows,"Kenneth Grahame, Michael Hague, John Burningham, David Roberts, Oxford Editor, Guo man, Yang Ma, Ernest H. Shepard, Charles Van Sandwyk, Katie Dicker","Children's fiction, Animals, fiction, Friendship, fiction, England, fiction, Fiction, Animals, Friendship, Juvenile fiction, Toy and movable books, Country life, River life, Specimens, Christmas, Folklore, Pictorial works, Children's stories, English, Stories, Juvenile literature, Toad of Toad Hall (Fictitious character), Legends and stories of Animals",1908,https://covers.openlibrary.org/b/id/13335427-L.jpg
/works/OL93082W,Divina Commedia,Dante Alighieri,"Poetry (poetic works by one author), Literatura, Portraits, Paradise, Poetry, Hell, Purgatory, Illustrations, Italian poetry, Medieval Literature, Heaven, Dictionaries, poem sayers, Early works to 1800, Fiction, humorous, Translations into English, Religion, Classic Literature, Fiction, Romance literature",1472,https://covers.openlibrary.org/b/id/11621024-L.jpg
/works/OL9170454W,Hamlet,William Shakespeare,"performing arts, nonfiction classics, Shakespeare plays, texts, Teatro, Muerte, Tragedias, Príncipes, Padres, Familia, Sucesión, Víctimas de asesinato, Stage history, Reyes, reinas, soberanos, Venganza, History and criticism, Criticism and interpretation, LITERARY CRITICISM, Succession, Fathers, Regicide",1603,https://covers.openlibrary.org/b/id/8281954-L.jpg
/works/OL262454W,The Hound of the Baskervilles,Arthur Conan Doyle,"crime novel, English Civil War, mires, tors, tombs, Dogs, England, fiction, Holmes, sherlock (fictitious character), fiction, Watson, john h. (fictitious character), fiction, British and irish fiction (fictional works by one author), Fiction, mystery & detective, traditional, Private investigators, fiction, Holmes, Sherlock -- Fiction, Watson, John H. (Fictitious character) -- Fiction, Sherlock Holmes (Fictitious character), Fiction, Private investigators, Blessing and cursing, Children's non-fiction, Animals",1900,https://covers.openlibrary.org/b/id/8063264-L.jpg
/works/OL77746W,Anne of Green Gables,Lucy Maud Montgomery,"Fiction, Juvenile fiction, Country life, Friendship, Orphans, Friendship in fiction, Prince Edward Island in fiction, Orphans in fiction, Country life in fiction, Foster home care, Girls, Anne Shirley (Fictitious character), Children's fiction, Shirley, anne (fictitious character), fiction, Country life, fiction, Prince edward island, fiction, Friendship, fiction, Orphans, fiction, History, Teachers",1908,https://covers.openlibrary.org/b/id/14641084-L.jpg
/works/OL66544W,Persuasion,Jane Austen,"Fiction, Romance, Historical, Regency, Love stories, English, Moški in ženske, V leposlovju, Medosebni odnosi, Družbene razmere, Social life and customs, Rejection (Psychology), Officers, Great Britain. Royal Navy, Great Britain, Manners and customs, Armed Forces, fiction, British and irish fiction (fictional works by one author), Man-woman relationships, fiction, England, fiction, Great Britain, fiction, Austen, jane, 1775-1817, Fiction, psychological, English literature",1789,https://covers.openlibrary.org/b/id/12824691-L.jpg
/works/OL468431W,The Great Gatsby,F. Scott Fitzgerald,"Married people, fiction, American fiction (fictional works by one author), Fiction, psychological, Long island (n.y.), fiction, Fiction, Rich people, Mistresses, Married women, Traffic accidents, First loves, Revenge, American Manuscripts, Facsimiles, Manuscripts, Antiheroes, l fiction, Man-woman relationships, fiction, Upper class, American literature, Young adult fiction, comics & graphic novels, classic adaptation, Young adult fiction, social themes, class differences",1920,https://covers.openlibrary.org/b/id/10590366-L.jpg
/works/OL1095427W,Jane Eyre,Charlotte Brontë,"Fiction, Romance, Historical"", Man-woman relationships, fiction, Charity schools, fiction, Married people, fiction, Married men, fiction"", Country homes, fiction, Fathers and daughters, fiction, Open Library Staff Picks, Orphans, fiction, Young women, fiction, Married men, fiction, Mentally ill women, fiction, Family secrets, fiction, Manners and customs, fiction, Upper class, fiction, Gothic fiction, Literature",1847,https://covers.openlibrary.org/b/id/8235363-L.jpg
/works/OL52267W,The Time Machine,H. G. Wells,"Self-experimentation in medicine in fiction, Fiction, Time travel in fiction, Dystopias in fiction, Literature, Scientists, Classic Literature, Open Library Staff Picks, Scientists in fiction, Space warfare, Self-experimentation in medicine, open_syllabus_project, English Science fiction, Dystopias, Time travel, Science fiction, Animal experimentation in fiction, Juvenile fiction, Comic and Graphic Books, Animal experimentation",1895,https://covers.openlibrary.org/b/id/9009316-L.jpg
/works/OL262421W,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,"Classic Literature, Murder, Mystery, Conclusions, amorality, Anglo-Saxons, Apaces, aristocracy, banks, barques, beryls, brain fever, bushrangers, cabinet cards, carbuncles, Christmas dinners, churches, Classic fiction, Classics, commissionaires",1892,https://covers.openlibrary.org/b/id/6717853-L.jpg
/works/OL102749W,Moby Dick,Herman Melville,"American Sea stories, Mentally ill, Whaling, Science Fiction & Fantasy, Whales, great_books_of_the_western_world, Translations into French, Literature, Captain Ahab (Fictitious character), American Adventure stories, Sailors, Sea stories, Classic Literature, Whaling in literature, Open Library Staff Picks, open_syllabus_project, Fiction, Ship captains, Whaling ships, Chasse",1851,https://covers.openlibrary.org/b/id/10544254-L.jpg
/works/OL66530W,Mansfield Park,Jane Austen,"Love stories, English, Fiction, Romance, Historical, Regency, Social life and customs, Adoptees,  fiction, Poor families, fiction, Uncles,  fiction, Cousins, fiction, English Love stories, Criticism and interpretation, Coming of age, fiction, Country homes,  fiction, Social classes, Children of the rich,  fiction, English fiction, Young women, fiction, Classic Literature, Manners and customs, British and irish fiction (fictional works by one author), Fiction, family life, English literature",1814,https://covers.openlibrary.org/b/id/14618737-L.jpg
/works/OL76487W,The Man Who Was Thursday,"Gilbert Keith Chesterton, Jake Kerr, Matt Mikalatos, Harry Plantinga, David Widger, Vincent Verret, Victor","Anarchists, Novela de misterio, Police, Libros en letra grande, Fiction, Novela fantástica, Ficción, Classic Literature, Alegorías, Anarquistas, Long Now Manual for Civilization, London (england), fiction, England, fiction, Fiction, mystery & detective, traditional, Fiction, mystery & detective, police procedural, Fiction, crime, London (England), Religion, English literature, Mystery and detective",1908,https://covers.openlibrary.org/b/id/8242857-L.jpg
/works/OL36861W,Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet","History, Fiction, Swordsmen, France in fiction, Vietnamese language books, Swordplay, Juvenile fiction, Adventure and adventurers, Spanish language materials, Romans, nouvelles, etc. pour la jeunesse, Histoire, Combat au sabre, Novela juvenil, Historia, Adventure fiction, Spanish language, Reading materials, Fiction, historical, France, fiction, Continental european fiction (fictional works by one author)",1844,https://covers.openlibrary.org/b/id/11929973-L.jpg
/works/OL61981W,Ἰλιάς,Όμηρος,"Odysseus (Greek mythology), Juvenile poetry, Readers, Greeks, Poetry, Classical literature, Poesía, Open Library Staff Picks, Greek Epic poetry, Hector (Legendary character), Textual Criticism, Achilles (Greek mythology), Greek Mythology, Criticism and interpretation, Medieval and modern Latin literature, Trojan War, Aquiles (Mitología griega), Helen of Troy (Greek mythology), LITERARY COLLECTIONS / Ancient, Classical & Medieval, Guerra de Troya",1505,https://covers.openlibrary.org/b/id/7083790-L.jpg
/works/OL100672W,Candide,"Voltaire, William Fleming, Philip Littell, Jack Davenport","Conduct of life, Readers, Literatura francesa, Satire, Fiction, Civilization, Moral conditions, Enlightenment, Politics and government, Life, French language, Philosophy, French fiction, Ethics, Classic Literature, Imaginary letters, Personal conduct, Open Library Staff Picks, Translations into Chinese, open_syllabus_project",1746,https://covers.openlibrary.org/b/id/12736044-L.jpg
/works/OL61982W,Ὀδύσσεια,Όμηρος,"great_books_of_the_western_world, Poetry, Fiction, Classical literature, Open Library Staff Picks, Juvenile literature, Horses, Mythology, Greek, in literature, Diseases, Greek Mythology, great_books, Literatura grega clássica, Classic Literature, Homer, Greek Epic poetry, Hymns, Greek (Classical), Greek poetry, Epic poetry, Greek Epic poety, Odysseus (Greekmythology)",1488,https://covers.openlibrary.org/b/id/9045853-L.jpg
/works/OL8193387W,Hard Times,Charles Dickens,"Fiction, Social problems, Utilitarianism, Education, Social life and customs, Social conditions, Married people, Industrial revolution, Problèmes sociaux, Conditions sociales, Romans, nouvelles, Mœurs et coutumes, Criticism and interpretation, Hard times (Dickens, Charles), Manners and customs, Aufsatzsammlung, Hard times (Dickens), British and irish fiction (fictional works by one author), Fiction, political, Fiction, family life",1854,https://covers.openlibrary.org/b/id/8236916-L.jpg
/works/OL472715W,The Mysterious Affair at Styles,"Agatha Christie, Aric Cushing, Bookstar","Fiction, Mystery, Crime Fiction, Mystery Thriller, Thriller, Adult, Classic Literature, British Literature, Hercule Poirot (Fictitious Character), Tommy Beresford (Fictitious Character), Tuppence Beresford (Fictitious Character), Captain Arthur Hastings (Fictitious Character), Private investigators, English Detectives, Murder, Investigation, Open Library Staff Picks, Books on CD, Private investigators, fiction, Fiction, mystery & detective, traditional",1920,https://covers.openlibrary.org/b/id/13699667-L.jpg
/works/OL63985W,The Legend of Sleepy Hollow,Washington Irving,"Fiction, Ghosts, History, Children's stories, American, Short stories, Christmas, American Ghost stories, Ghost stories, Ichabod Crane (Fictitious character), Folklore, Shorthand, Graham, Texts, Children: Grades 4-6, Children's fiction, New york (state), fiction, Literature and fiction, juvenile, Ghosts, fiction, American fiction (fictional works by one author), Fiction, fantasy, general",1820,https://covers.openlibrary.org/b/id/8243083-L.jpg
/works/OL66534W,Northanger Abbey,Jane Austen,"Mate selection, Cousins, Fiction, Young women, Horror tales, Families, Uncles, Appreciation, Children of the rich, English Love stories, Sisters, Courtship, Books and reading, Open Library Staff Picks, Country homes, Rejection (Psychology), Fathers and daughters, Female friendship, Manners and customs, Social classes",1818,https://covers.openlibrary.org/b/id/12567961-L.jpg
/works/OL98501W,Ethan Frome,Edith Wharton,"Accident victims, American fiction (fictional works by one author), American literature, Children's fiction, Classic Literature, domestic fiction, English fiction, Family life, Farm life, Fiction, Guardian and ward, Interpersonal relations, Love, Manners and customs, Marriage, Married people, poor, Poverty, Readers, Romance",1910,https://covers.openlibrary.org/b/id/8303480-L.jpg
/works/OL19842W,Captains Courageous,Rudyard Kipling,"Teenage boys, Fishers, Fiction, Interpersonal relations, Reading, Literature, Fisher (Mammal), Self-perception, Children of the rich, Open Library Staff Picks, Classic Literature, Reading (Secondary), Sea stories, Seafaring life, Reading interests, Rescues, Remedial teaching, Juvenile fiction, Fishing boats, Coming of age",1896,https://covers.openlibrary.org/b/id/12819857-L.jpg
/works/OL99509W,The Railway Children,Edith Nesbit,"Brothers and sisters, Children's stories, Classic Literature, Country life, Family, Family life, Fiction, History, Juvenile Literature, Juvenile fiction, Railroads, Trains, Families, Children of prisoners, Fatherless families, Children's fiction, Brothers and sisters, fiction, Country life, fiction, England, fiction, Family life, fiction",1900,https://covers.openlibrary.org/b/id/13241123-L.jpg
/works/OL259026W,King Lear,William Shakespeare,"Drama, King Lear (Legendary character), Fathers and daughters, Kings and rulers, Inheritance and succession, Britons, Aging parents, Stage history, Textual Criticism, Lear, King (Legendary character), English literature, English Young adult drama, History and criticism, Plays, English drama, Problems, exercises, English literature: Shakespeare criticism, English literature: Shakespeare texts, Shakespeare studies & criticism, Plays / Drama",1608,https://covers.openlibrary.org/b/id/7420452-L.jpg
/works/OL362427W,Romeo and Juliet,William Shakespeare,"Classical Literature, British and irish drama (dramatic works by one author), Conflicto entre generaciones, Conflict of generations, courtship, Drama, Drama inglés, Dramatic production, Enemistad mortal, English drama (collections), early modern and elizabethan, 1500-1600, English literature, English literature, study and teaching, English Love stories, English Young adult drama, Families, Fiction, Juventud, Language and linguistics, Literature, Love-Romance-Fiction",1597,https://covers.openlibrary.org/b/id/8257991-L.jpg
/works/OL262438W,The Sign of Four,Arthur Conan Doyle,"Crime & Mystery, classic fiction, Andamanese, arrow poisons, bloguns, convicts, crime & mystery fiction, crocodiles, Detective and mystery fiction, Fiction, Fiction Classics, Indian Rebellion of 1857, launches, Literary Fiction, Mystery & Suspense, Mystery fiction, novel, private investigators, substance abuse, tea plantations",1889,https://covers.openlibrary.org/b/id/9247987-L.jpg
/works/OL258902W,Macbeth,William Shakespeare,"Drama, Regicides, Kings and rulers, Texts, French-Canadian dialect, Scotland, kings, greed, murder of the King, regicide, wives pressuring, fear, Classic Literature, Comic and Graphic Books, Fiction, Young Adult Literature, Plays, Succession, Juvenile drama, Sources",1508,https://covers.openlibrary.org/b/id/872432-L.jpg
/works/OL99499W,Five Children and It,Edith Nesbit,"Fiction, Fairies, Wishes, Brothers and sisters, History, Juvenile fiction, Fantasy, Fairy tales, Stories, England, Fantasy fiction, Children's stories, English, Amulets, Children's fiction, Fairies, fiction, Brothers and sisters, fiction, England, fiction, Children, fiction, Readers, Readers (Adult)",1905,https://covers.openlibrary.org/b/id/28174-L.jpg
/works/OL498556W,Die Verwandlung,Franz Kafka,"Fantasy fiction, Children's fiction, Lectures et morceaux choisis, Fantastique, Nouvelles, Métamorphose, Romans, Famille, Metamorphosis, Die Verwandlung, an interpretation, Kikuyu (African people), Native races, Afforestation, Indigenous peoples, Readers, Textbooks for foreign speakers, Fiction, German fiction, Texts",1915,https://covers.openlibrary.org/b/id/12820198-L.jpg
/works/OL259010W,A Midsummer Night's Dream,William Shakespeare,"Drama, Courtship, Plays, Hippolyta (Greek mythology), Theseus (Greek mythology), Juvenile drama, Children's plays, English, Stage history, Textual Criticism, Nonfiction, Description and travel, Sources, Juvenile literature, Criticism and interpretation, Critique et interprétation, Classic Literature, English Young adult drama, Amateur theater, English drama, Open Library Staff Picks",1600,https://covers.openlibrary.org/b/id/7205924-L.jpg
/works/OL19908W,Kim,Rudyard Kipling,"Fiction, Irish, Lamas, Irish in fiction, Orphans, Boys in fiction, Boys, Lamas in fiction, Orphans in fiction, India in fiction, East and West, East and West in fiction, Juvenile fiction, Classic Literature, Juvenile fiction', Conduct of life, Adventure and adventurers, British, Youth, Voyages and travels",1901,https://covers.openlibrary.org/b/id/1053011-L.jpg
/works/OL267096W,Anna Karenina,Лев Толстой,"Fiction, Adultery, Married women, Social life and customs, Social conditions, Upper class women, Russian literature, Upper class, Classic Literature, Literature, Drama, Non-English Fiction, Romance, Russian fiction, open_syllabus_project, Long Now Manual for Civilization, Reading Level-Grade 11, Reading Level-Grade 12, Continental European fiction (fictional works by one author), Married people, fiction",1876,https://covers.openlibrary.org/b/id/2560652-L.jpg
/works/OL53919W,The Adventures of Tom Sawyer,Mark Twain,"The Adventures of Tom Sawyer, Mark Twain, 1835-1910, 19th Century, Historical, Fiction, Classic, American, Novel, Children, Children's, Kid's, Juvenile, Young Adult, ADULT, 1967 Lewis Carroll Shelf Award, Literature, Hardcover, Paperback, Kindle",1817,https://covers.openlibrary.org/b/id/12043351-L.jpg
/works/OL77958W,The Last of the Mohicans,James Fenimore Cooper,"Adventure stories, Ficción, Fiction, Frontier and pioneer life, Historia, Historical fiction, History, Indians of North America, Indios de América del Norte, Juvenile fiction, Mohegan Indians, Natty Bumppo (Fictitious character), Novela histórica, Relatos de aventura, United States French and Indian War, 1755-1763, open_syllabus_project, Adventure fiction, French and Indian War (United States : 1754-1763) fast (OCoLC)fst01800886, Roman, Mohegan (Indiens)",1826,https://covers.openlibrary.org/b/id/8236937-L.jpg
/works/OL76341W,The Innocence of Father Brown (Father Brown Mystery),"Gilbert Keith Chesterton, Judith Boss, David Widger","Fiction, mystery & detective, collections & anthologies, England, fiction, Brown, father (fictitious character), fiction, Fiction, mystery & detective, traditional, Catholic church, clergy, fiction, Fiction, Father Brown (Fictitious character), English Detective and mystery stories, England in fiction, Clergy, Catholic Church, Catholics, Catholics in fiction, Clergy in fiction, Priests in fiction, Priests, Catholic Church in fiction, Translations into Polish, English Short stories, Dutch Detective and mystery stories",1583,https://covers.openlibrary.org/b/id/94081-L.jpg
/works/OL262460W,The Lost World,Arthur Conan Doyle,"Adventure stories, Atlantis, Dinosaurs, Discovery and exploration, English Detective and mystery stories, Fiction, Fiction in French, Prehistoric peoples, Professor Challenger (Fictitious character), Scientific expeditions, Translations into Czech, Translations into Russian, Science fiction, Fantasy, Discoveries in geography, Children's fiction, Dinosaurs, fiction, Fiction, fantasy, general, Fiction, action & adventure, Challenger, professor (fictitious character), fiction",1900,https://covers.openlibrary.org/b/id/8231444-L.jpg
/works/OL18396W,The Marvelous Land of Oz,L. Frank Baum,"Children's stories, American, Juvenile fiction, Translations into Russian, Children's literature, English, Children's literature, Russian, Oz (Imaginary place), Wizards, Fantasy, Children's fiction, Oz (imaginary place), fiction, Fantasy fiction, Large type books, Fiction, Oz (Imaginary place) -- Juvenile fiction, Fantasy literature, Conduct of life -- Juvenile fiction, Friendship -- Juvenile fiction, Voyages and travels -- Juvenile fiction, Magic -- Juvenile fiction, Practical jokes -- Juvenile fiction",1904,https://covers.openlibrary.org/b/id/12648656-L.jpg
/works/OL18415W,Ozma of Oz,L. Frank Baum,"Fantasy, Children's stories, Children's stories, American, Juvenile fiction, Fairy tales, Fantasy fiction, Children's fiction, Oz (imaginary place), fiction, Large type books, Illustrated children's books, Fiction, fantasy, general, Dorothy Gale (Fictitious character), Oz (Imaginary place), Princess Ozma (Fictitious character), Oz (Lieu imaginaire), Romans, nouvelles, etc. pour la jeunesse",1907,https://covers.openlibrary.org/b/id/12648657-L.jpg
/works/OL18409W,The Emerald City of Oz,L. Frank Baum,"Juvenile fiction, Fiction, Oz (Imaginary place), Fantasy, Princess Ozma (Fictitious character), Children's fiction, Fantasy fiction, Oz (imaginary place), fiction, American Fantasy fiction, Large type books, American literature, Comic books, strips, Dorothy Gale (Fictitious character), Cartoons and comics, Comics & graphic novels, fantasy, Fiction, fantasy, general, Fiction, science fiction, general, Kings and rulers, Voyages and travels, Good and evil",1910,https://covers.openlibrary.org/b/id/1473556-L.jpg
